Марка,Модель,Комплектация,Топливо,Объем двигателя,Лошадиные силы,КПП,Степени КПП,Привод,Смешанные расход,Расход в городе,Расход по трассе,Время до 100 км\ч,Год производства,Цена
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Advance Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 732 668
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Advance Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 732 668
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Advance Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 525 000
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Advance Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 525 000
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Advance Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 525 000
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Advance Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 525 000
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Advance Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 732 668
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Advance Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 732 668
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Advance Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 732 668
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Advance Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 620 000
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Advance Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 620 000
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Advance Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 850 467
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Design Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 718 000
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Design Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 718 000
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Design Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 850 467
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Design Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 850 467
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Design Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 850 467
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Design Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 850 467
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Design Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 850 467
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Design Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 873 700
